City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Pisco,PE,-13.7,-76.2167,67.01,77,20,10.36,mist
79,Caravelas,BR,-17.7125,-39.2481,75.49,64,23,7.76,few clouds
80,Vidim,RU,56.4088,103.1106,40.35,97,66,4.54,broken clouds
81,Ambilobe,MG,-13.2,49.05,74.52,72,62,5.06,broken clouds
82,Qaanaaq,GL,77.484,-69.3632,25.29,75,100,2.93,overcast clouds
83,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,90,100,4.7,light rain
84,Sambava,MG,-14.2667,50.1667,74.75,83,72,12.01,broken clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,78.76,76,41,10.96,scattered clouds
86,Clyde River,CA,70.4692,-68.5914,19.63,93,100,34.52,heavy snow
87,Oyama,JP,36.3,139.8,65.59,89,97,3.44,overcast clouds
88,Garowe,SO,8.4054,48.4845,89.67,33,97,19.08,overcast clouds
89,Beringovskiy,RU,63.05,179.3167,38.93,79,100,8.14,overcast clouds
90,Andenes,NO,69.3143,16.1194,46.38,93,100,3.44,overcast clouds
91,Surat,IN,21.1667,72.8333,85.98,79,40,17.27,scattered clouds
92,Fort Nelson,CA,58.8053,-122.7002,51.39,62,75,5.75,broken clouds
93,Port Lincoln,AU,-34.7333,135.8667,61.68,78,94,10.58,overcast clouds
94,Yellowknife,CA,62.456,-114.3525,36.12,80,100,6.91,light snow
95,Severo-Kurilsk,RU,50.6789,156.125,40.84,96,98,15.73,overcast clouds
96,Jamestown,US,42.097,-79.2353,56.84,94,100,14.97,overcast clouds
97,Baffa,PK,34.4378,73.2194,69.42,38,54,7.16,broken clouds
98,Nikolskoye,RU,59.7035,30.7861,51.69,54,1,2.21,clear sky
99,Karratha,AU,-20.7377,116.8463,77.88,74,100,5.82,overcast clouds
100,Ribeira Brava,PT,32.65,-17.0667,72.01,76,8,1.97,clear sky
101,Port Blair,IN,11.6667,92.75,82.96,81,100,21.79,moderate rain
102,Rio Gallegos,AR,-51.6226,-69.2181,42.85,56,0,13.8,clear sky
103,Mandera,KE,3.9366,41.867,86.94,49,39,17.34,scattered clouds
104,Monrovia,LR,6.3005,-10.7969,78.15,85,100,9.75,light rain
105,Hobart,AU,-42.8794,147.3294,50.25,84,100,11.5,overcast clouds
106,Bonthe,SL,7.5264,-12.505,78.6,85,100,9.17,light rain
107,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,38,11.23,scattered clouds
108,Lokosovo,RU,61.1333,74.8167,52.52,78,100,11.92,overcast clouds
109,Victoria,HK,22.2855,114.1577,77.38,84,100,18.01,overcast clouds
110,Plerin,FR,48.5425,-2.7798,63.39,88,0,6.91,clear sky
111,Jalu,LY,29.0331,21.5482,77.52,21,0,9.84,clear sky
112,Oussouye,SN,12.485,-16.5469,86.18,57,85,12.93,overcast clouds
113,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,74,100,8.05,overcast clouds
114,Alofi,NU,-19.0595,-169.9187,66.09,100,5,1.14,clear sky
115,Natal,BR,-5.795,-35.2094,79.45,100,100,26.46,overcast clouds
116,Saquena,PE,-4.6667,-73.5167,88.5,51,78,2.15,broken clouds
117,Saskylakh,RU,71.9167,114.0833,33.96,99,100,6.42,light snow
118,Saint George,US,37.1041,-113.5841,83.62,11,0,5.75,clear sky
119,Tessalit,ML,20.1986,1.0114,95.02,14,48,11.68,scattered clouds
120,Pevek,RU,69.7008,170.3133,34.66,88,42,11.21,scattered clouds
121,Georgetown,MY,5.4112,100.3354,82.33,88,20,0.0,few clouds
122,Pochutla,MX,15.7432,-96.4661,92.82,39,0,10.54,clear sky
123,Torbay,CA,47.6666,-52.7314,64.27,35,75,18.41,broken clouds
124,Turochak,RU,52.2576,87.1224,61.48,78,92,3.33,light rain
125,Zhigansk,RU,66.7697,123.3711,36.52,76,100,5.12,overcast clouds
126,Luderitz,NA,-26.6481,15.1594,58.19,69,24,7.27,few clouds
127,Chaozhou,CN,23.6651,116.6379,71.46,94,100,1.1,overcast clouds
128,Saldanha,ZA,-33.0117,17.9442,55.45,87,91,5.77,overcast clouds
129,Cam Ranh,VN,11.9214,109.1591,80.56,83,40,1.14,scattered clouds
130,Codrington,AU,-38.2667,141.9667,43.59,95,4,7.72,clear sky
131,Komsomolskiy,UZ,40.4272,71.7189,57.92,67,40,4.61,scattered clouds
132,Bereda,ES,43.2686,-7.5406,62.58,99,100,3.04,overcast clouds
133,Caucaia,BR,-3.7361,-38.6531,85.95,74,40,9.22,scattered clouds
134,Conselice,IT,44.5119,11.8312,80.62,65,89,6.38,overcast clouds
135,Atuona,PF,-9.8,-139.0333,77.34,81,31,17.4,light rain
136,Saint Anthony,US,45.0205,-93.218,56.8,42,100,14.97,overcast clouds
137,Fairbanks,US,64.8378,-147.7164,62.31,31,0,6.91,clear sky
138,Itupiranga,BR,-5.1347,-49.3267,91.72,59,38,4.61,scattered clouds
139,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,1.14,broken clouds
140,Timon,BR,-5.0942,-42.8367,89.38,55,40,6.91,scattered clouds
141,Coahuayana,MX,18.7333,-103.6833,90.25,47,0,8.57,clear sky
